strike,Call Price,Call IV,Call Volume,Put Price,Put IV,Put Volume,Straddle Cost (1SD),Call Delta,Call Gamma,Call Vega,Call Theta,Call Charm,Put Delta,Put Gamma,Put Vega,Put Theta,Put Charm,Time
50.0,70.0,3.281251796875,98,0.01,3.1250021875,1.0,70.01,0.9999,0.0,0.0031,-0.0094,-0.0001,-0.0,0.0,0.0016,-0.0013,0.0,2025-03-25 20:17:38
55.0,62.45,3.6875007812500002,38,0.01,2.750003125,10.0,62.46,0.9987,0.0001,0.0377,-0.0422,0.0002,-0.0,0.0,0.0014,-0.0009,0.0,2025-03-25 20:17:38
60.0,57.46,3.3125017187499997,1,0.01,2.50000375,6.0,57.47,0.9985,0.0002,0.0428,-0.0436,0.0002,-0.0001,0.0,0.002,-0.0012,0.0,2025-03-25 20:17:38
65.0,56.71,2.9609400976562497,1,0.01,2.1875045312499997,102.0,56.72,0.9983,0.0002,0.0481,-0.0445,0.0002,-0.0,0.0,0.0017,-0.001,0.0,2025-03-25 20:17:38
70.0,50.6,2.3671915820312495,2,0.01,1.9375003125,40.0,50.61,0.9993,0.0001,0.0214,-0.0223,-0.0,-0.0001,0.0,0.002,-0.001,0.0,2025-03-25 20:17:38
75.0,45.1,2.4140664648437498,5,0.01,1.75000125,156.0,45.11,0.997,0.0004,0.0805,-0.0588,0.0003,-0.0001,0.0,0.0033,-0.0014,0.0,2025-03-25 20:17:38
80.0,40.98,2.0468798828125,39,0.01,1.5000025,50.0,40.989999999999995,0.9974,0.0004,0.0724,-0.048,0.0002,-0.0001,0.0,0.003,-0.0011,0.0,2025-03-25 20:17:38
85.0,35.96,2.119145327148437,18,0.01,1.3125034374999998,681.0,35.97,0.9897,0.0014,0.2444,-0.141,0.0009,-0.0001,0.0,0.0044,-0.0014,0.0,2025-03-25 20:17:38
90.0,30.9,1.9902344238281249,171,0.01,1.09375453125,4237.0,30.91,0.9806,0.0026,0.4208,-0.2213,0.0016,-0.0001,0.0,0.0043,-0.0012,0.0,2025-03-25 20:17:38
91.0,29.15,1.5273461132812498,11,0.01,1.0625046875000002,1137.0,29.16,0.9947,0.0011,0.1358,-0.0642,0.0003,-0.0001,0.0001,0.0049,-0.0013,0.0,2025-03-25 20:17:38
92.0,28.25,1.3515657421874998,20,0.01,1.0312548437500002,627.0,28.26,0.9972,0.0007,0.0778,-0.0388,0.0001,-0.0002,0.0001,0.0055,-0.0014,0.0,2025-03-25 20:17:38
93.0,26.95,1.3671906640625,8,0.01,0.98437515625,895.0,26.96,0.9957,0.001,0.1126,-0.0512,0.0002,-0.0001,0.0001,0.0051,-0.0013,0.0,2025-03-25 20:17:38
94.0,26.4,1.8105478222656248,7,0.01,0.937500625,886.0,26.41,0.9734,0.0038,0.5493,-0.2611,0.0019,-0.0001,0.0001,0.0047,-0.0011,0.0,2025-03-25 20:17:38
95.0,25.85,1.3671906640625,249,0.01,0.9687503125,1550.0,25.860000000000003,0.9922,0.0018,0.1914,-0.0783,0.0004,-0.0004,0.0002,0.0119,-0.0029,0.0,2025-03-25 20:17:38
96.0,24.65,1.421877890625,28,0.02,0.98437515625,24.0,24.669999999999998,0.9871,0.0026,0.2967,-0.1184,0.0007,-0.0007,0.0003,0.0226,-0.0056,0.0,2025-03-25 20:17:38
97.0,23.75,1.1757853710937498,88,0.01,0.937500625,378.0,23.76,0.9947,0.0014,0.1355,-0.053,0.0002,-0.0007,0.0003,0.0222,-0.0052,0.0,2025-03-25 20:17:38
98.0,22.6,0.992187578125,4,0.01,0.8984385156249999,322.0,22.610000000000003,0.998,0.0007,0.057,-0.0275,-0.0,-0.0008,0.0003,0.0235,-0.0053,0.0,2025-03-25 20:17:38
99.0,21.9,1.3847687011718748,12,0.01,0.85937640625,1523.0,21.91,0.9765,0.0045,0.4954,-0.1847,0.0013,-0.0008,0.0004,0.0249,-0.0053,0.0,2025-03-25 20:17:38
100.0,20.8,0.9062509375,479,0.01,0.8203142968749999,1239.0,20.810000000000002,0.9978,0.0009,0.063,-0.0279,-0.0,-0.0009,0.0004,0.0264,-0.0054,0.0,2025-03-25 20:17:38
