strike,Call Price,Call IV,Call Volume,Put Price,Put IV,Put Volume,Straddle Cost (1SD),Call Delta,Call Gamma,Call Vega,Call Theta,Call Charm,Put Delta,Put Gamma,Put Vega,Put Theta,Put Charm,Time
400.0,174.03,3.0253930615234372,3.0,0.01,2.0625048437499998,2.0,174.04,0.9909,0.0003,0.7343,-1.1647,0.0018,-0.0003,0.0,0.0364,-0.0376,0.0001,2025-03-25 15:22:20
500.0,66.3,1.3203158984374999,,0.01,0.8437515624999999,104.0,66.31,0.9793,0.0013,1.4969,-1.055,0.0016,-0.0008,0.0001,0.0813,-0.0342,0.0001,2025-03-25 15:22:20
505.0,53.56,1.4912134814453122,,0.01,0.7812521875,228.0,53.57,0.9542,0.0021,2.889,-2.2195,0.0036,-0.0008,0.0001,0.0798,-0.0311,0.0001,2025-03-25 15:22:20
510.0,64.89,1.1396527392578126,2.0,0.01,0.7187528125,5.0,64.9,0.9784,0.0015,1.555,-0.9542,0.0014,-0.0007,0.0001,0.0773,-0.0277,0.0,2025-03-25 15:22:20
525.0,37.49,1.1240278173828124,1.0,0.01,0.5625043750000001,109.0,37.5,0.9401,0.0035,3.5749,-2.0762,0.0034,-0.0011,0.0002,0.1094,-0.0307,0.0001,2025-03-25 15:22:20
530.0,43.51,0.8085956640624999,2.0,0.01,0.500005,539.0,43.519999999999996,0.9725,0.0026,1.9019,-0.8393,0.0012,-0.001,0.0002,0.1037,-0.0259,0.0,2025-03-25 15:22:20
535.0,39.26,0.8989267919921874,19.0,0.01,0.48438015625,817.0,39.269999999999996,0.9371,0.0046,3.7137,-1.7374,0.0028,-0.0025,0.0005,0.231,-0.0558,0.0001,2025-03-25 15:22:20
538.0,31.03,0.694338994140625,10.0,0.02,0.445318046875,10851.0,31.05,0.9653,0.0037,2.3049,-0.8711,0.0013,-0.0024,0.0006,0.2281,-0.0506,0.0001,2025-03-25 15:22:20
539.0,37.01,0.8344743115234373,186.0,0.01,0.437505625,94.0,37.019999999999996,0.9299,0.0054,4.0385,-1.7532,0.0028,-0.0027,0.0006,0.249,-0.0542,0.0001,2025-03-25 15:22:20
540.0,35.53,0.8276384423828124,14.0,0.01,0.42188078125,28.0,35.54,0.9257,0.0057,4.2252,-1.8165,0.0029,-0.0025,0.0006,0.2365,-0.0497,0.0001,2025-03-25 15:22:20
541.0,31.6,0.6455113574218749,1.0,0.01,0.414068359375,431.0,31.610000000000003,0.963,0.0042,2.4323,-0.8562,0.0012,-0.0028,0.0007,0.2592,-0.0534,0.0001,2025-03-25 15:22:20
542.0,28.5,0.8203142968749999,1.0,0.01,0.398443515625,8.0,28.51,0.9148,0.0063,4.6863,-1.9895,0.0032,-0.0026,0.0007,0.2458,-0.0488,0.0001,2025-03-25 15:22:20
543.0,19.17,0.596683720703125,22.0,0.01,0.39063109375,527.0,19.180000000000003,0.965,0.0043,2.3238,-0.7649,0.0011,-0.0029,0.0008,0.2706,-0.0526,0.0001,2025-03-25 15:22:20
544.0,30.04,0.6005899316406251,5.0,0.01,0.37500625,420.0,30.05,0.9592,0.0049,2.632,-0.8616,0.0012,-0.0028,0.0008,0.256,-0.0478,0.0001,2025-03-25 15:22:20
545.0,28.15,0.692385888671875,1.0,0.01,0.367193828125,22.0,28.16,0.9285,0.0066,4.1037,-1.4896,0.0023,-0.0031,0.0009,0.2834,-0.0518,0.0001,2025-03-25 15:22:20
546.0,16.29,0.5478560839843751,5.0,0.01,0.35156898437499995,684.0,16.3,0.9623,0.005,2.4671,-0.7476,0.001,-0.0029,0.0008,0.2674,-0.0468,0.0001,2025-03-25 15:22:20
547.0,24.77,0.684573466796875,1.0,0.01,0.3437565625,1.0,24.78,0.916,0.0075,4.6368,-1.6553,0.0026,-0.0033,0.001,0.2979,-0.0509,0.0001,2025-03-25 15:22:20
548.0,26.6,0.6774934594726563,1.0,0.01,0.32813171874999997,1.0,26.610000000000003,0.91,0.008,4.8792,-1.7207,0.0028,-0.0031,0.0009,0.2803,-0.0457,0.0001,2025-03-25 15:22:20
549.0,23.66,0.6618686157226563,2.0,0.01,0.32031929687499994,35.0,23.67,0.9065,0.0084,5.0228,-1.7299,0.0028,-0.0035,0.0011,0.3145,-0.0501,0.0001,2025-03-25 15:22:20
550.0,24.74,0.48242705078125003,1.0,0.01,0.304694453125,186.0,24.75,0.9579,0.0062,2.7003,-0.7233,0.001,-0.0032,0.0011,0.2951,-0.0447,0.0001,2025-03-25 15:22:20
551.0,22.28,0.46582565429687506,3.0,0.01,0.29688203124999996,16.0,22.290000000000003,0.9566,0.0066,2.7654,-0.7161,0.001,-0.0037,0.0012,0.3339,-0.0493,0.0001,2025-03-25 15:22:20
552.0,23.0,0.5581098876953126,10.0,0.01,0.28516339843749994,51.0,23.01,0.915,0.0093,4.6784,-1.3744,0.0021,-0.0039,0.0013,0.3449,-0.0489,0.0001,2025-03-25 15:22:20
553.0,20.96,0.432622861328125,4.0,0.01,0.273444765625,55.0,20.970000000000002,0.9538,0.0074,2.9116,-0.7019,0.001,-0.004,0.0014,0.3569,-0.0485,0.0001,2025-03-25 15:22:20
554.0,21.33,0.4409235595703125,8.0,0.01,0.2617261328125,12.0,21.34,0.9421,0.0087,3.4799,-0.8385,0.0012,-0.0042,0.0016,0.3702,-0.0481,0.0001,2025-03-25 15:22:20
555.0,20.8,1.0000000000000003e-05,53.0,0.01,0.2500075,786.0,20.810000000000002,1.0,0.0,0.0,-0.076,-0.0001,-0.0044,0.0017,0.3849,-0.0478,0.0001,2025-03-25 15:22:20
556.0,18.79,1.0000000000000003e-05,14.0,0.01,0.23828886718749998,115.0,18.8,1.0,0.0,0.0,-0.0762,-0.0001,-0.0046,0.0019,0.4013,-0.0475,0.0001,2025-03-25 15:22:20
557.0,17.47,1.0000000000000003e-05,8.0,0.01,0.22657023437499998,554.0,17.48,1.0,0.0,0.0,-0.0763,-0.0001,-0.0048,0.0021,0.4198,-0.0472,0.0001,2025-03-25 15:22:20
558.0,16.36,1.0000000000000003e-05,125.0,0.01,0.2148516015625,380.0,16.37,1.0,0.0,0.0,-0.0764,-0.0001,-0.0051,0.0023,0.4408,-0.0469,0.0001,2025-03-25 15:22:20
559.0,15.33,1.0000000000000003e-05,90.0,0.01,0.20313296874999998,8622.0,15.34,1.0,0.0,0.0,-0.0766,-0.0001,-0.0054,0.0025,0.4648,-0.0468,0.0001,2025-03-25 15:22:20
560.0,14.32,1.0000000000000003e-05,88.0,0.01,0.1914143359375,6129.0,14.33,1.0,0.0,0.0,-0.0767,-0.0001,-0.0058,0.0028,0.4927,-0.0467,0.0001,2025-03-25 15:22:20
